,NAMES,REVIEWS
0,Seema Hangarge,Perfect product!
1,Krishnamurthy V,Simply awesome
2,Flipkart Customer,Worth every penny
3,Flipkart Customer,Delightful
4,Vipin Sharma,Pretty good
5,Shruti Shah,Simply awesome
6,karan patel,Value-for-money
7,Flipkart Customer,Perfect product!
8,DINESH KUMAR G.J,Simply awesome
9,Flipkart Customer,Just wow!
10,Flipkart Customer,Good choice
11,Gulshan Sharma,Awesome
12,KALAIVANAN KARUNANITHI,Worth every penny
13,Amber Sabah,Terrific purchase
14,Flipkart Customer,Not good
15,Flipkart Customer,Just wow!
16,Divya Bhandari,Bad quality
17,Raju Katla,Not good
18,Flipkart Customer,Wonderful
19,Gitanjali Moharana,Classy product
20,Sachin Kundhare ,Highly recommended
21,Shemeer  K,Excellent
22,Sarita Gavit,Simply awesome
23,Pallavi  Aligeri ,Good quality product
24,YARRA KARUNAKAR CHINNAPANGU,Wonderful
25,Ankhi Das Roy,Awesome
26,AKL LLL,Fabulous!
27,Flipkart Customer,Worth every penny
28,Kuppuraj Muthusamy,Really Nice
29,Flipkart Customer,Highly recommended
30,Flipkart Customer,Awesome
31,sunil kumar,Good
32,joysin priya,Wonderful
33,Flipkart Customer,Great product
34,Rakesh Kumar,Pretty good
35,Manoj  Lakhe.,Does the job
36,Flipkart Customer,Terrific purchase
37,Rishi Kant Batham,Terrific
38,Shajitha Ashker,Perfect product!
39,Flipkart Customer,Nice product
40,JAYA PRAKASH,Must buy!
41,Flipkart Customer,Perfect product!
42,Rahul Kohli,Simply awesome
43,himanshu kumar,Must buy!
44,Ramesh Kumar,Terrific
45,Flipkart Customer,Terrific
46,Flipkart Customer,Really Nice
47,Flipkart Customer,Really Nice
48,Flipkart Customer,Expected a better product
49,Flipkart Customer,Good
50,,Terrific
51,Suman Madiwal,Just wow!
52,,Highly recommended
53,PANKAJ  KUMAR ,Fair
54,Flipkart Customer,Brilliant
55,Manish Kumar,Fabulous!
56,Rinky Kumari paswan,Fabulous!
57,Syam Sundar,Must buy!
58,Flipkart Customer,Terrific
59,Raja Saha,Highly recommended
60,Flipkart Customer,Good choice
61,SUBH KANT,Super!
62,Flipkart Customer,Super!
63,,Just wow!
64,Flipkart Customer,Good choice
65,Rinku Ahmed,Terrific purchase
66,Aryan Pandey,Mind-blowing purchase
67,Sreeja  Shaju,Fair
68,Sanchita  Mondal ,Awesome
69,Sanjay Sardar,Excellent
70,Rajni Sodhi,Must buy!
71,Flipkart Customer,Must buy!
72,,Terrific
73,Rajesh kumar Dash,Best in the market!
74,Flipkart Customer,Wonderful
75,Flipkart Customer,Good choice
76,Flipkart Customer,Classy product
77,Alisha  Lakhe,Wonderful
78,Moneca Cheda,Fabulous!
79,Rehan Ahmad,Terrific purchase
80,Ramu Veeragoni,Wonderful
81,Flipkart Customer,Just okay
82,Chandan  Jha,Bad quality
83,farzana shaik,Super!
84,Flipkart Customer,Mind-blowing purchase
85,Flipkart Customer,Terrific purchase
86,Bhavin Talaviya,Did not meet expectations
87,Flipkart Customer,Highly recommended
88,poonam kapoor,Classy product
89,Flipkart Customer,Good quality product
90,Arti Chauhan,Super!
91,Ritu Solanki,Super!
92,Gulrukh  Zabin,Super!
93,Amarjeet  Bawa ,Decent product
94,Ritu Salaria,Classy product
95,Flipkart Customer,Does the job
96,Rose Simon,Nice product
97,Flipkart Customer,Best in the market!
98,Priya Mehta ,Wonderful
99,Flipkart Customer,Highly recommended
100,Gouri Singh,Mind-blowing purchase
101,Namrata Mittal,Did not meet expectations
102,Manpreet kour Customer,Utterly Disappointed
103,Kothem  Saikumar,Terrific purchase
104,Flipkart Customer,Waste of money!
105,Srithar Sundar,Does the job
106,Shalini  Singh ,Fabulous!
107,T.M.Ragunathan,Really Nice
108,Ranjita K,Good quality product
109,Utkarsh Mishra,Good choice
110,rahul sharma,Perfect product!
111,Flipkart Customer,Does the job
112,Anas saji,Horrible
113,R.Aaradhy Aaradhy,Worth every penny
114,Flipkart Customer,Value-for-money
115,Flipkart Customer,Simply awesome
116,Mridul,Just wow!
117,Namrata Nesargi,Pretty good
118,Praveena T,Highly recommended
119,Rajesh N,Just okay
120,Soni Paul,Perfect product!
121,Flipkart Customer,Really Nice
122,Flipkart Customer,Classy product
123,Flipkart Customer,Great product
124,Dr Ankita singh Singh,Wonderful
125,Flipkart Customer,Very Good
126,Flipkart Customer,Terrific purchase
127,gyanashree Bora,Unsatisfactory
128,Flipkart Customer,Terrific
129,Khushi  Jain,Must buy!
130,Flipkart Customer,Good quality product
131,Flipkart Customer,Utterly Disappointed
132,Suman Banerjee,Fair
133,Flipkart Customer,Terrific purchase
134,Flipkart Customer,Decent product
135,Subha Yadav,Wonderful
136,Flipkart Customer,Fair
137,Beauty  Barman,Waste of money!
138,Geetha Kumari k,Fabulous!
139,Shrikanth P,Really Nice
140,reppino jr,Terrific
141,Flipkart Customer,Worth the money
142,Gopinath  Reddy,Perfect product!
143,Rahul  Shukla ,Worth the money
144,Flipkart Customer,Worth the money
145,Flipkart Customer,Good choice
146,Snehlata  Mathur,Worth the money
147,Flipkart Customer,Does the job
148,Flipkart User,Delightful
149,tejal patel,Excellent
